cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1G,JMETJM,JMU1G,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
14,,DIREITO TRIBUTÁRIO,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,X,X,X
195,,DIREITO PREVIDENCIÁRIO,X,,X,X,,,,X,X,X,X,X,X,,,,,,,,X,X,
287,,DIREITO PENAL,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
864,,DIREITO DO TRABALHO,,,X,X,,,X,,,,,,,X,X,,X,X,X,X,X,,
899,,DIREITO CIVIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1146,,DIREITO MARÍTIMO,,,X,X,,,,X,X,,,,,,,,,,,,X,X,
1156,,DIREITO DO CONSUMIDOR,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
1209,,DIREITO PROCESSUAL PENAL,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
1681,2594,Periculosidade,,,,,,,,,,,,,,,,,,X,X,X,X,,
1690,1697,Contribuição Assistencial,,,,,,,,,,,,,,,,,,X,X,X,X,,
1691,1697,Contribuição Confederativa,,,,,,,,,,,,,,,,,,X,X,X,X,,
1695,864,Direito Coletivo do Trabalho,,,,,,,,,,,,,,,,,,X,X,X,X,,
1697,864,Direito Sindical e Questões Análogas,,,,,,,,,,,,,,,,,,X,X,X,X,,
1703,1697,Eleição,,,,,,,,,,,,,,,,,,X,X,X,X,,
1705,1697,Registro de Entidade Sindical,,,,,,,,,,,,,,,,,,X,X,X,X,,
1721,2458,Salário In Natura,,,,,,,,,,,,,,,,,,X,X,X,X,,
1723,1855,Assédio Moral,,,,,,,,,,,,,,,,,,X,X,X,X,,
1724,1855,Assédio Sexual,,,,,,,,,,,,,,,,,,X,X,X,X,,
1767,2581,Cesta Básica,,,,,,,,,,,,,,,,,,X,X,X,X,,
1773,1697,Contribuição Sindical,,,,,,,,,,,,,,,,,,X,X,X,X,,
1783,2581,Comissões e Percentuais,,,,,,,,,,,,,,,,,,X,X,X,X,,
1789,2581,Complemento Temporário Variável de Ajuste ao Piso de Mercado,,,,,,,,,,,,,,,,,,X,X,X,X,,
1849,2620,Culpa Recíproca,,,,,,,,,,,,,,,,,,X,X,X,X,,
1855,2567,Indenizaçao por Dano Moral,,,X,X,,,X,,,,,,,,,,X,X,X,X,X,,
1888,2581,Descontos Salariais - Devolução,,,,,,,,,,,,,,,,,,X,X,X,X,,
1904,2620,Despedida / Dispensa Imotivada,,,,,,,,,,,,,,,,,,X,X,X,X,,
1907,2620,Justa Causa / Falta Grave,,,,,,,,,,,,,,,,,,X,X,X,X,,
1920,2581,Diárias,,,,,,,,,,,,,,,,,,X,X,X,X,,
1929,2656,Dirigente Sindical,,,,,,,,,,,,,,,,,,X,X,X,X,,
1937,864,Responsabilidade Solidária / Subsidiária,,,,,,,,,,,,,,,,,,X,X,X,X,,
1965,2656,Empregado Público,,,,,,,,,,,,,,,,,,X,X,X,X,,
1966,2656,Portador de HIV,,,,,,,,,,,,,,,,,,X,X,X,X,,
1976,2656,Contrato Suspenso,,,,,,,,,,,,,,,,,,X,X,X,X,,
1977,2656,Estabilidade decorrente de Norma Coletiva,,,,,,,,,,,,,,,,,,X,X,X,X,,
