Código,Cód. Pai,nome,JE2G
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,X
386,385,Execução da Pena,X
11399,385,Execução de Medida de Segurança,X
12729,385,Execução de Medidas Alternativas no Juízo Comum,X
12727,385,Execução de Pena de Multa,X
1714,385,Execução Provisória,X
406,385,Incidentes,X
409,406,Anistia,X
411,406,Comutação de Pena,X
407,406,Conversão de Pena,X
408,406,Excesso ou Desvio,X
410,406,Indulto,X
11957,406,Remição de Pena,X
1283,406,Superveniência de doença mental,X
1288,406,Transferência entre estabelecimentos penais,X
1284,406,Unificação de penas,X
12728,385,Transferência Entre Estabelecimentos Penais,X
1198,,PROCEDIMENTOS ADMINISTRATIVOS ,X
1303,1198,Correição Extraordinária,X
1307,1198,Correição Ordinária,X
88,1198,Correição Parcial ou Reclamação Correicional,X
1304,1198,Inspeção,X
12248,1198,Pedido de Cooperação Judiciária,X
1199,1198,Pedido de Providências,X
1265,1198,Precatório,X
1298,1198,Processo Administrativo,X
1264,1198,Processo Administrativo Disciplinar em face de Magistrado,X
1262,1198,Processo Administrativo Disciplinar em face de Servidor,X
1301,1198,Reclamação Disciplinar,X
1299,1198,Recurso Administrativo,X
1306,1198,Recurso em Processo Administrativo Disciplinar em face de Servidor,X
256,1198,Representação por Excesso de Prazo,X
1266,1198,Requisição de Pequeno Valor,X
1308,1198,Sindicância,X
547,,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE ,X
1385,547,Seção Cível,X
10969,1385,Incidentes,X
10970,10969,Conflito de Competência Infância e Juventude,X
10971,10969,Exceções,X
10975,10971,Exceção de Impedimento Infância e Juventude,X
10976,10971,Exceção de Incompetência Infância e Juventude,X
10977,10971,Exceção de Suspeição Infância e Juventude,X
10972,10969,Exibição de Documento ou Coisa Infância e Juventude,X
10973,10969,Impugnação ao Valor da Causa Infância e Juventude,X
10974,10969,Incidente de Falsidade Infância e Juventude,X
12386,10969,Incidente de Impedimento Infância e Juventude,X
12388,10969,Incidente de Suspeição Infância e Juventude,X
11026,1385,Petição Infância e Juventude Cível,X
1386,1385,Processo de Conhecimento,X
12230,1386,Guarda c/c destituição do poder familiar,X
1691,1386,Mandado de Segurança Infância e Juventude Cível,X
12070,1386,Pedido de Medida de Proteção,X
1459,547,Seção Infracional,X
12074,1459,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,X
10979,1459,Petição Infracional,X
12071,1459,Procedimentos Cautelares,X
12072,12071,Busca e Apreensão Infracional,X
12073,12071,Internação Provisória,X
12424,12071,Medidas de Proteção à Pessoa Idosa - Infracional,X
12423,12071,Medidas Protetivas de Urgência (Lei Maria da Penha) - Infracional,X
11794,1459,Restituição de Coisas Apreendidas Infracional,X
11099,,PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS ,X
12136,11099,Pedido de Mediação Pré-Processual,X
11875,11099,Reclamação Pré-processual,X
2,,PROCESSO CÍVEL E DO TRABALHO ,X
214,2,Outros Procedimentos,X
15167,214,Acordo de Não Persecução Cível,X
237,214,Atos e expedientes,X
238,237,Avocatória,X
242,237,Comunicação,X
12357,237,Pedido de Efeito Suspensivo à Apelação,X
241,237,Petição Cível,X
257,214,Cartas,X
12082,257,Carta Arbitral,X
258,257,Carta de Ordem Cível,X
261,257,Carta Precatória Cível,X
215,214,Incidentes,X
218,215,Assistência Judiciária,X
14991,215,Classificação de Crédito Público,X
1285,215,Conflito de atribuição,X
221,215,Conflito de competência cível,X
224,215,Exceções,X
1230,224,Exceção de Impedimento,X
1232,224,Exceção de Incompetência,X
1231,224,Exceção de Suspeição,X
228,215,Exibição de Documento ou Coisa Cível,X
230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,X
231,215,Impugnação ao Valor da Causa Cível,X
1702,215,Impugnação de Assistência Judiciária,X
216,215,Incidente De Arguição de Inconstitucionalidade Cível,X
12087,215,Incidente de Assunção de Competência,X
12119,215,Incidente de Desconsideração de Personalidade Jurídica,X
232,215,Incidente de Falsidade,X
12080,215,Incidente de Impedimento Cível,X
12085,215,Incidente de Resolução de Demandas Repetitivas,X
12081,215,Incidente de Suspeição Cível,X
233,215,Incidente de Uniformização de Jurisprudência,X
236,215,Oposição,X
12075,215,Procedimento Conciliatório,X
175,2,Processo Cautelar,X
178,175,Arresto ,X
179,175,Arrolamento de Bens,X
180,175,Atentado,X
181,175,Busca e Apreensão,X
182,175,Caução,X
183,175,Cautelar Inominada,X
1723,175,Contraprotesto Judicial,X
186,175,Exibição,X
1726,175,Interpelação,X
190,175,Justificação,X
1725,175,Notificação,X
1289,175,Outras medidas provisionais,X
193,175,Produção Antecipada da Prova,X
191,175,Protesto,X
195,175,Separação de Corpos,X
196,175,Seqüestro,X
12083,175,Tutela Antecipada Antecedente,X
12084,175,Tutela Cautelar Antecedente,X
1106,2,Processo de Conhecimento,X
1107,1106,Procedimento de Conhecimento,X
7,1107,Procedimento Comum Cível,X
26,1107,Procedimentos Especiais,X
27,26,Procedimentos Especiais de Jurisdição Contenciosa,X
47,27,Ação Rescisória,X
32,27,Consignação em Pagamento,X
12086,27,Dissolução Parcial de Sociedade,X
37,27,Embargos de Terceiro Cível,X
38,27,Habilitação,X
