Código,Cód. Pai,nome,JETR
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,X
12727,385,Execução de Pena de Multa,X
1198,,PROCEDIMENTOS ADMINISTRATIVOS ,X
12248,1198,Pedido de Cooperação Judiciária,X
2,,PROCESSO CÍVEL E DO TRABALHO ,X
214,2,Outros Procedimentos,X
237,214,Atos e expedientes,X
241,237,Petição Cível,X
257,214,Cartas,X
258,257,Carta de Ordem Cível,X
261,257,Carta Precatória Cível,X
215,214,Incidentes,X
218,215,Assistência Judiciária,X
14991,215,Classificação de Crédito Público,X
221,215,Conflito de competência cível,X
224,215,Exceções,X
1230,224,Exceção de Impedimento,X
1231,224,Exceção de Suspeição,X
12119,215,Incidente de Desconsideração de Personalidade Jurídica,X
12080,215,Incidente de Impedimento Cível,X
12081,215,Incidente de Suspeição Cível,X
175,2,Processo Cautelar,X
183,175,Cautelar Inominada,X
1106,2,Processo de Conhecimento,X
1107,1106,Procedimento de Conhecimento,X
26,1107,Procedimentos Especiais,X
27,26,Procedimentos Especiais de Jurisdição Contenciosa,X
46,27,Restauração de Autos Cível,X
50,26,Procedimentos Especiais de Jurisdição Voluntária,X
12369,50,Tomada de Decisão Apoiada,X
62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos",X
1269,62,Habeas Corpus Cível,X
120,62,Mandado de Segurança Cível,X
244,62,Reclamação,X
11556,62,Suspensão de Segurança Cível,X
12370,62,Tomada de Decisão Apoiada,X
158,2,Processo de Execução,X
1111,158,Execução de Título Judicial,X
197,2,Recursos,X
200,197,Agravos,X
202,200,Agravo de Instrumento,X
204,200,Agravo de Instrumento em Recurso Extraordinário,X
206,200,Agravo Regimental Cível,X
10942,197,Correição Parcial Cível,X
207,197,Embargos,X
1689,207,Embargos de Declaração Cível,X
1271,197,Recurso de Medida Cautelar Cível,X
460,197,Recurso Inominado Cível,X
12133,2,Tutela Provisória de Urgência e Tutela Provisória de Evidência,X
12135,12133,Tutela Antecipada Antecedente,X
12134,12133,Tutela Cautelar Antecedente,X
268,,PROCESSO CRIMINAL ,X
334,268,Cartas,X
335,334,Carta de Ordem Criminal,X
355,334,Carta Precatória Criminal,X
308,268,Medidas Cautelares,X
11955,308,Cautelar Inominada Criminal,X
303,268,Medidas Garantidoras,X
307,303,Habeas Corpus Criminal,X
1727,268,Petição Criminal,X
284,268,Processo Especial,X
292,284,Processo Especial de Leis Esparsas,X
14701,292,Habeas Data Criminal,X
1710,292,Mandado de Segurança Criminal,X
12122,292,Reclamação Criminal,X
285,284,Processo Especial do Código de Processo Penal,X
291,285,Restauração de Autos Criminal,X
12394,285,Revisão Criminal,X
316,268,Questões e Processos Incidentes,X
14123,316,Destinação de Bens Apreendidos,X
317,316,Exceções,X
324,317,Exceção da Verdade,X
322,317,Exceção de Coisa Julgada,X
321,317,Exceção de Ilegitimidade de Parte,X
323,317,Exceção de Impedimento,X
319,317,Exceção de Incompetência de Juízo,X
320,317,Exceção de Litispendência,X
318,317,Exceção de Suspeição,X
331,316,Incidentes,X
14678,331,Acordo de Não Persecução Penal,X
11787,331,Assistência Judiciária,X
325,331,Conflito de Jurisdição,X
326,316,Restituição de Coisas Apreendidas,X
412,268,Recursos,X
1712,412,Agravo de Instrumento em Recurso Extraordinário,X
1729,412,Agravo Interno Criminal,X
417,412,Apelação Criminal,X
418,412,Carta Testemunhável,X
419,412,Correição Parcial Criminal,X
420,412,Embargos de Declaração Criminal,X
425,412,Recurso de Sentença Criminal,X
11398,412,Recurso em sentido estrito/Recurso ex officio,X
427,412,Remessa Necessária Criminal,X
428,412,Revisão Criminal,X
