Código,Cód. Pai,nome,JF1G
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,X
386,385,Execução da Pena,X
11399,385,Execução de Medida de Segurança,X
12729,385,Execução de Medidas Alternativas no Juízo Comum,X
12727,385,Execução de Pena de Multa,X
1714,385,Execução Provisória,X
406,385,Incidentes,X
409,406,Anistia,X
411,406,Comutação de Pena,X
407,406,Conversão de Pena,X
408,406,Excesso ou Desvio,X
410,406,Indulto,X
12128,406,Livramento Condicional,X
12129,406,Outros Incidentes de Execução Iniciados de Ofício,X
12125,406,Progressão de Regime,X
12126,406,Regressão de Regime,X
12127,406,Remição,X
11957,406,Remição de Pena,X
12089,406,Renovação de Permanência em Estabelecimento Penal Federal,X
12123,406,Roteiro de Pena,X
1283,406,Superveniência de doença mental,X
1288,406,Transferência entre estabelecimentos penais,X
1284,406,Unificação de penas,X
12728,385,Transferência Entre Estabelecimentos Penais,X
1198,,PROCEDIMENTOS ADMINISTRATIVOS ,X
12248,1198,Pedido de Cooperação Judiciária,X
1199,1198,Pedido de Providências,X
1298,1198,Processo Administrativo,X
1262,1198,Processo Administrativo Disciplinar em face de Servidor,X
1301,1198,Reclamação Disciplinar,X
1308,1198,Sindicância,X
547,,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE ,X
1385,547,Seção Cível,X
1386,1385,Processo de Conhecimento,X
12070,1386,Pedido de Medida de Proteção,X
1459,547,Seção Infracional,X
12074,1459,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,X
12071,1459,Procedimentos Cautelares,X
12072,12071,Busca e Apreensão Infracional,X
12073,12071,Internação Provisória,X
11099,,PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS ,X
12136,11099,Pedido de Mediação Pré-Processual,X
11875,11099,Reclamação Pré-processual,X
2,,PROCESSO CÍVEL E DO TRABALHO ,X
214,2,Outros Procedimentos,X
15167,214,Acordo de Não Persecução Cível,X
237,214,Atos e expedientes,X
12139,237,Contestação em Foro Diverso,X
1701,237,Nomeação de Advogado,X
241,237,Petição Cível,X
257,214,Cartas,X
12082,257,Carta Arbitral,X
258,257,Carta de Ordem Cível,X
261,257,Carta Precatória Cível,X
264,257,Carta Rogatória Cível,X
215,214,Incidentes,X
218,215,Assistência Judiciária,X
14991,215,Classificação de Crédito Público,X
12153,215,Embargos Parciais à Ação Monitória,X
224,215,Exceções,X
1230,224,Exceção de Impedimento,X
1232,224,Exceção de Incompetência,X
1231,224,Exceção de Suspeição,X
228,215,Exibição de Documento ou Coisa Cível,X
230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,X
231,215,Impugnação ao Valor da Causa Cível,X
1702,215,Impugnação de Assistência Judiciária,X
12119,215,Incidente de Desconsideração de Personalidade Jurídica,X
232,215,Incidente de Falsidade,X
12080,215,Incidente de Impedimento Cível,X
12081,215,Incidente de Suspeição Cível,X
236,215,Oposição,X
12075,215,Procedimento Conciliatório,X
175,2,Processo Cautelar,X
176,175,Alimentos - Provisionais,X
177,175,Apreensão de Títulos,X
178,175,Arresto ,X
179,175,Arrolamento de Bens,X
180,175,Atentado,X
181,175,Busca e Apreensão,X
182,175,Caução,X
83,175,Cautelar Fiscal,X
183,175,Cautelar Inominada,X
1723,175,Contraprotesto Judicial,X
186,175,Exibição,X
188,175,Homologação do Penhor Legal,X
1726,175,Interpelação,X
190,175,Justificação,X
1725,175,Notificação,X
1289,175,Outras medidas provisionais,X
192,175,Posse em Nome do Nascituro,X
193,175,Produção Antecipada da Prova,X
191,175,Protesto,X
196,175,Seqüestro,X
12083,175,Tutela Antecipada Antecedente,X
12084,175,Tutela Cautelar Antecedente,X
1106,2,Processo de Conhecimento,X
1107,1106,Procedimento de Conhecimento,X
7,1107,Procedimento Comum Cível,X
22,1107,Procedimento Sumário,X
26,1107,Procedimentos Especiais,X
27,26,Procedimentos Especiais de Jurisdição Contenciosa,X
45,27,Ação de Exigir Contas,X
28,27,Anulação e Substituição de Títulos ao Portador,X
29,27,Apreensão e Depósito de Coisa Vendida com Reserva de Domínio,X
32,27,Consignação em Pagamento,X
34,27,Demarcação / Divisão,X
35,27,Depósito,X
12086,27,Dissolução Parcial de Sociedade,X
37,27,Embargos de Terceiro Cível,X
38,27,Habilitação,X
12761,27,Homologação do Penhor Legal,X
1709,27,Interdito Proibitório,X
40,27,Monitória,X
41,27,Nunciação de Obra Nova,X
44,27,Prestação de Contas - Oferecidas,X
12376,27,Regulação de Avaria Grossa,X
1707,27,Reintegração / Manutenção de Posse,X
46,27,Restauração de Autos Cível,X
49,27,Usucapião,X
50,26,Procedimentos Especiais de Jurisdição Voluntária,X
52,50,Alienação Judicial de Bens,X
1295,50,Alvará Judicial,X
55,50,Declaração de Ausência,X
56,50,Especialização de Hipoteca Legal,X
12374,50,Homologação da Transação Extrajudicial,X
12227,50,Interpelação,X
12226,50,Notificação,X
59,50,Organização e Fiscalização de Fundação,X
1294,50,Outros procedimentos de jurisdição voluntária,X
12228,50,Protesto,X
12229,50,Protesto formado a bordo,X
62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos",X
63,62,Ação Civil Coletiva,X
64,62,Ação Civil de Improbidade Administrativa,X
