Código,Cód. Pai,nome,CNJ
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
133,3,Acolhimento de exceção,X
940,133,Impedimento ou Suspeição,X
83,3,Cancelamento da distribuição,X
817,3,Concessão,X
339,817,Liminar,X
888,3,Concessão em parte,X
12387,3,Decisão de Saneamento e Organização,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
269,11,Impedimento ou Suspeição,X
941,11,Incompetência,X
12151,11,Suspeição,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
12320,3,Denegação de prevenção,X
1013,3,Determinação,X
12430,1013,Arquivamento,X
1063,1013,Determinação de arquivamento de procedimentos investigatórios,X
12457,1013,Expedição de precatório/rpv,X
378,3,Homologação,X
944,378,Desistência de Recurso,X
12733,378,Homologação do Acordo de Não Persecução Penal,X
15244,3,Homologação de Acordo Parcial em Execução ou em Cumprimento de Sentença,X
14776,3,Homologação em Parte,X
12455,3,Indeferimento,X
12067,3,Levantamento da Suspensão ou Dessobrestamento,X
12359,3,Liminar Prejudicada,X
968,3,Não-Concessão,X
792,968,Liminar,X
12477,3,Não-Homologação,X
12208,3,Não-Ratificação,X
12300,3,Nomeação,X
12304,12300,Intérprete/Tradutor,X
12305,12300,Outros auxiliares de justiça,X
12306,12300,Perito,X
12164,3,Outras Decisões,X
15223,3,Prejudicado o Pedido,X
12332,3,Prorrogado prazo de conclusão,X
12206,3,Ratificação,X
12213,12206,Decisão Monocrática,X
12207,12206,Liminar,X
12210,3,Ratificação em Parte,X
160,3,Recebimento,X
1060,160,Recurso,X
12318,3,Reconhecimento de prevenção,X
190,3,Reforma de decisão anterior,X
138,3,Rejeição,X
373,138,Exceção de Impedimento ou Suspeição,X
157,3,Revogação,X
945,157,Decisão anterior,X
348,157,Liminar,X
11002,157,Revogação da Suspensão do Processo,X
25,3,Suspensão ou Sobrestamento,X
272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",X
898,25,Por decisão judicial,X
15247,25,Por Expedição de Precatório,X
15248,25,Por Expedição de RPV,X
11009,1,Despacho,X
11021,11009,Conversão,X
11022,11021,Julgamento em Diligência,X
15216,11009,Determinação de Citação,X
12548,11009,Expedição de alvará de levantamento,X
12068,11009,Levantamento da Suspensão ou Dessobrestamento,X
11010,11009,Mero expediente,X
12449,11010,expedição de alvará de levantamento,X
12310,11009,Pauta,X
12311,12310,Pedido de inclusão,X
12313,12310,Pedido de Inclusão em Pauta de Sessão Virtual,X
12314,12310,Pedido de Retirada de Pauta de Sessão Virtual,X
12312,12310,Retirar pedido de inclusão,X
11020,11009,Requisição de Informações,X
11025,11009,Suspensão ou Sobrestamento,X
11015,11025,"Exceção de Incompetência, suspeição ou Impedimento",X
15009,11025,Por Impedimento ou Suspeição,X
193,1,Julgamento,X
385,193,Com Resolução do Mérito,X
210,385,Concessão,X
12475,210,Habeas Corpus de ofício,X
242,385,Conhecimento em Parte e Não-Provimento ou Denegação,X
241,385,Conhecimento em Parte e Provimento em Parte ou Concessão em Parte,X
240,385,Conhecimento em Parte e Provimento ou Concessão,X
12326,385,Consulta,X
12327,12326,Respondida,X
12328,12326,Respondida em parte,X
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X
466,385,Homologação de Transação,X
220,385,Improcedência,X
239,385,Não-Provimento,X
12321,385,Parecer,X
12324,12321,Desfavorável,X
12322,12321,Favorável,X
