Código,Cód. Pai,nome,JFTNU
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
15162,3,Acolhimento de Embargos de Declaração,X
133,3,Acolhimento de exceção,X
940,133,Impedimento ou Suspeição,X
15163,3,Acolhimento em Parte de Embargos de Declaração,X
206,3,Admissão,X
12454,206,Pedido de Uniformização de Interpretação de Lei,X
83,3,Cancelamento da distribuição,X
817,3,Concessão,X
787,817,Gratuidade da Justiça,X
12308,817,Substituição/Sucessão da Parte,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
941,11,Incompetência,X
12151,11,Suspeição,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
1013,3,Determinação,X
11382,1013,Bloqueio/penhora on line,X
12038,1013,Quebra de sigilo bancário,X
12037,1013,Quebra de sigilo fiscal,X
12255,1013,Redistribuição por prevenção,X
12765,3,Envio para Juízo de Retratação ,X
12766,12765,Por Divergência de Entendimento com o STF,X
12767,12765,Por Divergência de Entendimento com STJ,X
15419,12765,Por Divergência de Entendimento com TNU,X
14776,3,Homologação em Parte,X
14702,3,Incidente ou Cautelar - Procedimento Resolvido,X
12455,3,Indeferimento,X
12067,3,Levantamento da Suspensão ou Dessobrestamento,X
12768,3,Manutenção de Acórdão,X
15164,3,Não Acolhimento de Embargos de Declaração,X
15409,3,Não Conhecimento de Embargos de Declaração,X
207,3,Não-Admissão,X
15183,207,Pedido de Uniformização de Interpretação de Lei,X
12477,3,Não-Homologação,X
12300,3,Nomeação,X
12301,12300,Advogado Voluntário,X
12302,12300,Curador,X
12303,12300,Defensor Dativo,X
12304,12300,Intérprete/Tradutor,X
12305,12300,Outros auxiliares de justiça,X
12306,12300,Perito,X
12164,3,Outras Decisões,X
15223,3,Prejudicado o Pedido,X
157,3,Revogação,X
15025,157,Revogação da Transação Penal,X
25,3,Suspensão ou Sobrestamento,X
15413,25,Ação Coletiva,X
271,25,"Exceção de Incompetência, suspeição ou Impedimento",X
275,25,Força maior,X
12098,25,Incidente de Resolução de Demandas Repetitivas ,X
268,25,Morte ou perda da capacidade,X
14971,25,Por Ação de Controle Concentrado de Constitucionalidade,X
14970,25,Por Controvérsia,X
12100,25,Por decisão do Presidente do STF - SIRDR,X
15247,25,Por Expedição de Precatório,X
15248,25,Por Expedição de RPV,X
14969,25,Por Grupo de Representativos,X
14968,25,Por Incidente de Assunção de Competência - IAC,X
11009,1,Despacho,X
11021,11009,Conversão,X
11022,11021,Julgamento em Diligência,X
15216,11009,Determinação de Citação,X
12068,11009,Levantamento da Suspensão ou Dessobrestamento,X
11010,11009,Mero expediente,X
12310,11009,Pauta,X
12311,12310,Pedido de inclusão,X
12313,12310,Pedido de Inclusão em Pauta de Sessão Virtual,X
12314,12310,Pedido de Retirada de Pauta de Sessão Virtual,X
12312,12310,Retirar pedido de inclusão,X
11025,11009,Suspensão ou Sobrestamento,X
11015,11025,"Exceção de Incompetência, suspeição ou Impedimento",X
15009,11025,Por Impedimento ou Suspeição,X
193,1,Julgamento,X
385,193,Com Resolução do Mérito,X
11796,385,Declaração de competência em conflito,X
12258,385,Emissão de juízo de retratação pelo Órgão Julgador,X
973,385,Extinção da Punibilidade ou da Pena,X
12028,973,Cumprimento de transação penal,X
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X
11795,385,Procedência do Pedido - Reconhecimento pelo réu,X
