Código,Cód. Pai,nome,JMU1
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
15162,3,Acolhimento de Embargos de Declaração,X
133,3,Acolhimento de exceção,X
940,133,Impedimento ou Suspeição,X
371,133,Incompetência,X
15163,3,Acolhimento em Parte de Embargos de Declaração,X
1008,3,Autorização,X
12188,1008,Recambiamento de Preso,X
1010,1008,Saída Temporária,X
1009,1008,Trabalho Externo,X
1019,1008,Transferência da Execução da Pena,X
1018,1008,Transferência para outro Estabelecimento Penal,X
83,3,Cancelamento da distribuição,X
817,3,Concessão,X
11415,817,Comutação da pena,X
12149,817,Detração/Remição da Pena,X
990,817,Direito de visita,X
787,817,Gratuidade da Justiça,X
11554,817,Indulto,X
818,817,Liberdade provisória,X
339,817,Liminar,X
819,817,Livramento Condicional,X
14682,817,Medida Cautelar Diversa da Prisão,X
15506,817,Medida de Proteção da Lei 13.431/2017,X
15486,817,Medida Protetiva da Lei Maria da Penha,X
988,817,Permissão de saída,X
12148,817,Prisão Domiciliar,X
1002,817,Progressão de regime,X
1017,817,Suspensão Condicional da Pena,X
332,817,Tutela Provisória,X
151,3,Concessão de efeito suspensivo,X
381,151,Recurso,X
888,3,Concessão em parte,X
892,888,Liminar,X
15507,888,Medida de Proteção da Lei 13.431/2017,X
15487,888,Medida Protetiva da Lei Maria da Penha,X
889,888,Tutela Provisória,X
7,3,Conversão,X
821,7,Pena / Medida,X
12140,7,Prisão em Flagrante em Prisão Preventiva,X
12387,3,Decisão de Saneamento e Organização,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
269,11,Impedimento ou Suspeição,X
941,11,Incompetência,X
12151,11,Suspeição,X
108,3,Decretação de Prisão Criminal,X
15426,108,Captura ou Apresentação de Desertor,X
15032,108,Manutenção da Prisão Preventiva,X
353,108,Preventiva,X
352,108,Temporária,X
12307,3,Decretação de revelia,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
122,3,Desacolhimento de Prisão,X
12147,122,Domiciliar,X
358,122,Preventiva,X
357,122,Temporária,X
12769,3,Desclassificação de Delito,X
14681,3,Descumprimento de Medida Protetiva da Lei Maria Penha,X
1013,3,Determinação,X
1063,1013,Determinação de arquivamento de procedimentos investigatórios,X
12472,1013,Devolução dos autos à origem ,X
12474,1013,Distribuição,X
15085,1013,Emenda à Inicial,X
12040,1013,Indisponibilidade de bens,X
12038,1013,Quebra de sigilo bancário,X
12037,1013,Quebra de sigilo fiscal,X
12039,1013,Quebra de sigilo telemático,X
12255,1013,Redistribuição por prevenção,X
1014,1013,Regressão de Regime,X
378,3,Homologação,X
944,378,Desistência de Recurso,X
12733,378,Homologação do Acordo de Não Persecução Penal,X
175,378,Prisão em flagrante,X
14776,3,Homologação em Parte,X
14702,3,Incidente ou Cautelar - Procedimento Resolvido,X
12455,3,Indeferimento,X
12067,3,Levantamento da Suspensão ou Dessobrestamento,X
11792,3,Livramento Condicional,X
15164,3,Não Acolhimento de Embargos de Declaração,X
15409,3,Não Conhecimento de Embargos de Declaração,X
968,3,Não-Concessão,X
334,968,Gratuidade da Justiça,X
12146,968,Liberdade Provisória,X
15508,968,Medida de Proteção da Lei 13.431/2017,X
15488,968,Medida Protetiva da Lei Maria da Penha,X
785,968,Tutela Provisória,X
12477,3,Não-Homologação,X
15424,12477,Não Homologação de ANPP,X
146,3,Não-Homologação de prisão em flagrante,X
