Código,Cód. Pai,nome,JT2G
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
15162,3,Acolhimento de Embargos de Declaração,X
133,3,Acolhimento de exceção,X
335,133,de pré-executividade,X
940,133,Impedimento ou Suspeição,X
371,133,Incompetência,X
15163,3,Acolhimento em Parte de Embargos de Declaração,X
15366,3,Acolhimento em Parte de Exceção de Pré-Executividade,X
206,3,Admissão,X
12096,206,Incidente de assunção de competência,X
12094,206,Incidente de Resolução de demandas repetitivas (art. 981 e 982),X
12428,206,Reclamação,X
431,206,Recurso de revista,X
83,3,Cancelamento da distribuição,X
817,3,Concessão,X
787,817,Gratuidade da Justiça,X
339,817,Liminar,X
12308,817,Substituição/Sucessão da Parte,X
332,817,Tutela Provisória,X
888,3,Concessão em parte,X
892,888,Liminar,X
889,888,Tutela Provisória,X
7,3,Conversão,X
266,7,Julgamento em Diligência,X
12387,3,Decisão de Saneamento e Organização,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
269,11,Impedimento ou Suspeição,X
941,11,Incompetência,X
12151,11,Suspeição,X
113,3,Decretação de Prisão Civil,X
355,113,Depositário infiel,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
1013,3,Determinação,X
11382,1013,Bloqueio/penhora on line,X
15085,1013,Emenda à Inicial,X
12457,1013,Expedição de precatório/rpv,X
12040,1013,Indisponibilidade de bens,X
12037,1013,Quebra de sigilo fiscal,X
12255,1013,Redistribuição por prevenção,X
12765,3,Envio para Juízo de Retratação ,X
12766,12765,Por Divergência de Entendimento com o STF,X
12767,12765,Por Divergência de Entendimento com STJ,X
15418,12765,Por Divergência de Entendimento com TST,X
378,3,Homologação,X
377,378,Acordo em execução ou em cumprimento de sentença,X
944,378,Desistência de Recurso,X
15244,3,Homologação de Acordo Parcial em Execução ou em Cumprimento de Sentença,X
14776,3,Homologação em Parte,X
12455,3,Indeferimento,X
12067,3,Levantamento da Suspensão ou Dessobrestamento,X
12768,3,Manutenção de Acórdão,X
15164,3,Não Acolhimento de Embargos de Declaração,X
15409,3,Não Conhecimento de Embargos de Declaração,X
207,3,Não-Admissão,X
12097,207,Incidente de assunção de competência ,X
12095,207,Incidente de resolução de demandas repetitivas,X
434,207,Recurso de Revista,X
968,3,Não-Concessão,X
334,968,Gratuidade da Justiça,X
792,968,Liminar,X
785,968,Tutela Provisória,X
12477,3,Não-Homologação,X
163,3,Não-Recebimento,X
804,163,Recurso,X
12300,3,Nomeação,X
12301,12300,Advogado Voluntário,X
12302,12300,Curador,X
12304,12300,Intérprete/Tradutor,X
12305,12300,Outros auxiliares de justiça,X
12306,12300,Perito,X
63,3,Ordenação de entrega de autos,X
12164,3,Outras Decisões,X
15223,3,Prejudicado o Pedido,X
160,3,Recebimento,X
1060,160,Recurso,X
394,1060,Com efeito suspensivo,X
1059,1060,Sem efeito suspensivo,X
12318,3,Reconhecimento de prevenção,X
138,3,Rejeição,X
373,138,Exceção de Impedimento ou Suspeição,X
374,138,Exceção de incompetência,X
788,138,Exceção de pré-executividade,X
56,3,Requisição de informações,X
157,3,Revogação,X
945,157,Decisão anterior,X
348,157,Liminar,X
128,157,Prisão,X
347,157,Tutela Provisória,X
961,3,Suscitação de Conflito de Competência,X
25,3,Suspensão ou Sobrestamento,X
272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",X
15413,25,Ação Coletiva,X
