Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,CNJ
9985,,,,,,,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X
10186,9985,,,2008-09-30 15:52:52,,,,Agentes Políticos,X
10187,10186,,,2008-09-30 15:52:52,,,,Magistratura,X
10191,10187,LC 35,art. 50,2008-09-30 15:52:52,,,,Aposentadoria,X
11952,10187,,,2012-09-17 00:00:00,,,,Apuração de Infração Disciplinar,X
11920,10187,,,2012-06-06 00:00:00,,,,Eleição,X
11921,11920,,,2012-06-06 00:00:00,,,,Cargos de Direção,X
11922,11920,,,2012-06-06 00:00:00,,,,Órgão Especial,X
11911,10187,,,2012-06-06 00:00:00,,,,Juizados Especiais,X
11913,11911,,,2012-06-06 00:00:00,,,,Composição de Turmas Recursais,X
11912,11911,,,2012-06-06 00:00:00,,,,Juiz Leigo,X
11914,10187,"Lei Complementar 35, de 1979",Art. 69,2012-06-06 00:00:00,,,,Licença,X
11950,10187,,,2012-09-17 00:00:00,,,,Morosidade no Julgamento do Processo,X
11915,10187,,,2012-06-06 00:00:00,,,,Participação Societária,X
13254,10187,,,2020-11-04 00:00:00,,,,Permuta ,X
11916,10187,,,2012-06-06 00:00:00,,,,Plantão Judiciário,X
10190,10187,LC 35,art. 42,2008-09-30 15:52:52,,,,Processo Disciplinar / Sindicância,X
10192,10187,"CF, LC 35","CF, art. 93, II, III, IV; LC 35, art.80",2008-09-30 15:52:52,,,,Promoção,X
10193,10187,CF; LC 35,"CF, art. 93, VIII-A; LC 35, art. 81",2008-09-30 15:52:52,,,,Remoção,X
12379,10193,LC 35,"LC 35, art. 42, III",2018-11-12 00:00:00,,,,Remoção Compulsória,X
10188,10187,"CF, LC 35","CF, art. 37, XI e art. 93, V; LC 35, art. 61 a 65.",2008-09-30 15:52:52,,,,Remuneração,X
