Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JETR
12775,,,,,,,,DIREITO À EDUCAÇÃO,X
12795,12775,CF; LDB,,2020-09-23 00:00:00,2021-07-14 11:18:00,,,Acesso,X
12808,12795,Lei 9394/1996. CF,"Art. 53, V; 206, IV e 208",2020-09-23 00:00:00,2021-01-18 13:09:00,,,Cobrança de Taxa de Matrícula,X
14240,12795,Lei 9394/1996; CF,"53, V; 207",2021-01-29 00:00:00,,,,Matrícula - Ausência de Pré-Requisito,X
14179,12795,Lei 9394/1996; CF,"53, V; 208",2021-01-18 00:00:00,,,,Perda de Prazo de Matrícula,X
14178,12795,Lei 9.870/1999,"5º, V e X",2021-01-18 00:00:00,,,,Renovação de Matrícula - Inadimplência,X
12794,12775,,,2020-09-23 00:00:00,2021-07-14 11:31:00,,,Permanência,X
12841,12794,"CF, LDB","art. 208, §2º (CF); Art. 5º, §3ºe 4º (LDB)",2020-09-23 00:00:00,2021-07-14 11:32:00,,,Mensalidades,X
12800,12775,,,2020-09-23 00:00:00,2021-07-14 11:40:00,,,Valorização do Magistério e dos Profissionais da Educação ,X
12879,12800,,,2020-09-23 00:00:00,2021-07-14 11:42:00,,,Ensino à Distância,X
12880,12879,,,2020-09-23 00:00:00,2021-07-14 11:42:00,,,Certificação,X
9985,,,,,,,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X
10186,9985,,,2008-09-30 15:52:00,,,,Agentes Políticos,X
10187,10186,,,2008-09-30 15:52:00,,,,Magistratura,X
11911,10187,,,2012-06-06 00:00:00,,,,Juizados Especiais,X
11913,11911,,,2012-06-06 00:00:00,,,,Composição de Turmas Recursais,X
11912,11911,,,2012-06-06 00:00:00,,,,Juiz Leigo,X
9997,9985,,,2008-09-30 15:52:00,,,,Atos Administrativos,X
10894,9997,CF,"5º, LXIX",2008-09-30 15:52:00,,,,Abuso de Poder,X
10015,9997,,,2008-09-30 15:52:00,,,,Fiscalização,X
10016,10015,,,2008-09-30 15:52:00,,,,Inspeção Fitossanitária,X
10018,10015,,,2008-09-30 15:52:00,,,,Inspeção Sanitária de Origem Animal,X
10022,9997,,,2008-09-30 15:52:00,,,,Infração Administrativa,X
10025,10022,,,2008-09-30 15:52:00,,,,Apreensão,X
10024,10022,,,2008-09-30 15:52:00,,,,Interdição,X
10023,10022,,,2008-09-30 15:52:00,,,,Multas e demais Sanções,X
10009,9997,,,2008-09-30 15:52:00,,,,Inquérito / Processo / Recurso Administrativo,X
9998,9997,,,2008-09-30 15:52:00,,,,Licenças,X
10003,9998,"Lei 5.991/73, 6.360/76 e 6.437/77",,2008-09-30 15:52:00,,,,Comercialização e/ou Utilização sem Restrições de Medicamentos,X
10002,9998,"Lei 6.437/77, 6.198/74 e 9.782/99",,2008-09-30 15:52:00,,,,Comercialização sem Restrições de Gêneros Alimentícios,X
10001,9998,,,2008-09-30 15:52:00,,,,Comercialização sem Restrições de Produtos Industrializados,X
9999,9998,IN SRF 7/98; 120/98 e 140/98,,2008-09-30 15:52:00,,,,Declaração de Bagagem,X
10000,9998,IN SRF 248/2002,"5º, inciso I",2008-09-30 15:52:00,,,,Declaração de Trânsito Aduaneiro,X
10004,9998,Lei 9.478/97 e 9.847/99,,2008-09-30 15:52:00,,,,Funcionamento de Comércio de Derivados de Petróleo,X
10006,9998,,,2008-09-30 15:52:00,,,,Funcionamento de Estabelecimentos Empresariais,X
10084,9998,,,2008-09-30 15:52:00,,,,Jogos de Bingo e/ou Caça-níqueis,X
10079,9998,,,2008-09-30 15:52:00,,,,Loterias/Sorteio,X
10007,9998,Lei 10.826/2003,,2008-09-30 15:52:00,,,,Registro / Porte de arma de fogo,X
10008,9998,Decreto 63.662/68,4º,2008-09-30 15:52:00,,,,Registro de Aeronave,X
