Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JF1G
12775,,,,,,,,DIREITO À EDUCAÇÃO,X
12795,12775,CF; LDB,,2020-09-23 00:00:00,2021-07-14 11:18:51,,,Acesso,X
12805,12795,LDB,"44, II",2020-09-23 00:00:00,2021-07-14 11:13:51,,,Acesso sem Conclusão do Ensino Médio,X
14177,12795,Lei 9394/1996; CF,"53, V e 208",2021-01-18 00:00:00,,,,Ciência Sem Fronteiras,X
12808,12795,Lei 9394/1996. CF,"Art. 53, V; 206, IV e 208",2020-09-23 00:00:00,2021-01-18 13:09:35,,,Cobrança de Taxa de Matrícula,X
12806,12795,LDB,"art. 48, caput, §1º, §3º, 53, VI e 80, §2º",2020-09-23 00:00:00,2021-07-14 11:13:20,,,Convalidação de Estudos e Reconhecimento de Diploma,X
12809,12795,Lei 12.711/2012,,2020-09-23 00:00:00,2021-07-14 11:12:53,,,Cota para Ingresso - Ações Afirmativas,X
12810,12795,LDB,,2020-09-23 00:00:00,2021-07-14 11:12:36,,,Itinerários Formativos,X
12910,12810,CF; LDB,"36, V",2020-09-23 00:00:00,2021-07-14 11:12:05,,,Formação Técnica e Profissional,X
12911,12810,LDB,Art. 36,2020-10-01 00:00:00,2021-07-14 11:11:43,,,Itinerários Formativos do Ensino Médio,X
14240,12795,Lei 9394/1996; CF,"53, V; 207",2021-01-29 00:00:00,,,,Matrícula - Ausência de Pré-Requisito,X
14179,12795,Lei 9394/1996; CF,"53, V; 208",2021-01-18 00:00:00,,,,Perda de Prazo de Matrícula,X
12804,12795,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:14:10,,,Processo Seletivo,X
12902,12804,LDB/PNE,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",2020-09-23 00:00:00,2021-07-14 11:14:32,,,Exames Oficiais para Ingresso - Enem,X
12903,12902,LDB; PNE,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",2020-09-23 00:00:00,2021-07-14 11:15:53,,,Acessibilidade,X
