Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JFTNU
12775,,,,,,,,DIREITO À EDUCAÇÃO,X
12795,12775,CF; LDB,,2020-09-23 00:00:00,2021-07-14 11:18:00,,,Acesso,X
14177,12795,Lei 9394/1996; CF,"53, V e 208",2021-01-18 00:00:00,,,,Ciência Sem Fronteiras,X
12808,12795,Lei 9394/1996. CF,"Art. 53, V; 206, IV e 208",2020-09-23 00:00:00,2021-01-18 13:09:00,,,Cobrança de Taxa de Matrícula,X
12809,12795,Lei 12.711/2012,,2020-09-23 00:00:00,2021-07-14 11:12:00,,,Cota para Ingresso - Ações Afirmativas,X
14240,12795,Lei 9394/1996; CF,"53, V; 207",2021-01-29 00:00:00,,,,Matrícula - Ausência de Pré-Requisito,X
14179,12795,Lei 9394/1996; CF,"53, V; 208",2021-01-18 00:00:00,,,,Perda de Prazo de Matrícula,X
12804,12795,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:14:00,,,Processo Seletivo,X
12902,12804,LDB/PNE,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",2020-09-23 00:00:00,2021-07-14 11:14:00,,,Exames Oficiais para Ingresso - Enem,X
12903,12902,LDB; PNE,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",2020-09-23 00:00:00,2021-07-14 11:15:00,,,Acessibilidade,X
12904,12902,,,2020-09-23 00:00:00,2021-07-14 11:15:00,,,Outros,X
12912,12902,LDB,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",2020-10-01 00:00:00,,,,Taxa de Inscrição,X
12905,12804,,,2020-09-23 00:00:00,2021-07-14 11:14:00,,,Outros,X
12906,12905,,,2020-09-23 00:00:00,2021-07-14 11:15:00,,,Acessibilidade,X
12907,12905,,,2020-09-23 00:00:00,2021-07-14 11:15:00,,,Outros,X
12913,12905,Lei 12.799/2013,1º,2020-10-01 00:00:00,,,,Taxa de Inscrição,X
12899,12804,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:14:00,,,Vestibular,X
12900,12899,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:15:00,,,Acessibilidade,X
12901,12899,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",2020-09-23 00:00:00,2021-07-14 11:15:00,,,Outros,X
12914,12899,Lei 12.799/2013,1º,2020-10-01 00:00:00,,,,Taxa de Inscrição,X
14178,12795,Lei 9.870/1999,"5º, V e X",2021-01-18 00:00:00,,,,Renovação de Matrícula - Inadimplência,X
12794,12775,,,2020-09-23 00:00:00,2021-07-14 11:31:00,,,Permanência,X
12929,12794,,,2020-10-08 00:00:00,,,,Colação de Grau,X
12848,12794,,,2020-09-23 00:00:00,2021-07-14 11:31:00,,,Evasão e Abandono,X
12842,12794,LDB,"Art. 24, VIII, art. 48, art. 53",2020-09-23 00:00:00,2021-07-14 11:31:00,,,Expedição de Diplomas e Omissão na Entrega das Notas,X
12841,12794,"CF, LDB","art. 208, §2º (CF); Art. 5º, §3ºe 4º (LDB)",2020-09-23 00:00:00,2021-07-14 11:32:00,,,Mensalidades,X
12849,12794,PNE e lei 11.095/05,Meta 12.20,2020-09-23 00:00:00,2021-07-14 11:32:00,,,"Programas de Assistência Estudantil - Alimentação, Moradia, Creche, Transporte ",X
12843,12794,,,2020-09-23 00:00:00,2021-07-14 11:33:00,,,Programas de Bolsas e Financiamento Estudantil com Recursos Públicos ,X
12844,12843,Lei 13.570/2017,1º,2020-09-23 00:00:00,2021-07-14 11:33:00,,,Fies,X
