Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JMU1G
9985,,,,,,,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X
10186,9985,,,2008-09-30 15:52:52,,,,Agentes Políticos,X
10187,10186,,,2008-09-30 15:52:52,,,,Magistratura,X
13254,10187,,,2020-11-04 00:00:00,,,,Permuta ,X
13323,10187,,,2020-11-04 00:00:00,,,,Vitaliciamento ,X
9997,9985,,,2008-09-30 15:52:52,,,,Atos Administrativos,X
10015,9997,,,2008-09-30 15:52:52,,,,Fiscalização,X
14954,10015,Lei de Execução Penal,"66, VII",2021-09-30 00:00:00,,,,Inspeção em Estabelecimento Penal,X
14956,10015,Lei de Execução Penal,"66, VIII",2021-09-30 00:00:00,,,,Interdição de Estabelecimento Penal,X
10370,9985,,,2008-09-30 15:52:52,,,,Concurso Público / Edital,X
12959,10370,,,2020-11-04 00:00:00,,,,Cadastro Reserva ,X
11903,10370,,,2012-06-06 00:00:00,,,,Concurso para magistrado,X
11909,10370,,,2012-06-06 00:00:00,,,,Concurso para servidor,X
9986,9985,,,2008-09-30 15:52:52,,,,Garantias Constitucionais,X
14130,9986,Constituição Federal,,2021-01-18 00:00:00,,,,Sistema Prisional,X
14202,9985,"Lei 13,709/2018",1º,2021-01-20 00:00:00,,,,Lei Geral de Proteção de Dados (LGPD),X
14204,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Privacidade,X
14203,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Proteção de Dados Pessoais,X
10385,9985,L 8.666/1993,,2008-09-30 15:52:52,,,,Licitações ,X
10386,10385,Lei 8.666/93,art. 20 a 26,2008-09-30 15:52:52,2021-01-18 10:11:23,,,Modalidade / Limite,X
14133,10386,Lei 8.666/1993,"22, I",2021-01-18 00:00:00,,,,Concorrência,X
